TARID,protein_name,source_organism,Strain,UniProt_ID,PDB_ID,UniProt PubMed IDs,Function_GO_uniprot,Function_PDB
1930,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Acinetobacter baumannii ,Strain MDR-ZJ06,A0A654L1G9,--,21788470,Not Available,Not Available
1931,Uncharacterized protein,Yersinia pseudotuberculosis serotype O:1b ,Strain IP 31758,A0A0U1R210,--,17784789,Not Available,Not Available
1932,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Acinetobacter spp. COS3,,U7H247,--,24356826,Acetyl glucosaminyl transferase activity,Not Available
1933,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Lysobacter capsici AZ78,,A0A125U042,--,24762937,Acetyl glucosaminyl transferase activity,Not Available
1934,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Acinetobacter baumannii ,Strain MDR-ZJ06,A0A654KXD6,--,21788470,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1935,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase",Achromobacter spp. AONIH1,,A0A2I8DLA9,--,29437920,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1936,Biofilm PGA synthesis deacetylase PgaB,Lysobacter capsici AZ78,,A0A125U043,--,24762937,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1937,Biofilm PGA synthesis lipoprotein PgaB (EC 3.-.-.-),Yersinia pseudotuberculosis serotype O:1b ,Strain IP 31758,A0A0U1R215,--,17784789,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1938,Polysaccharide deacetylase,Acinetobacter spp. COS3,,U7GXQ6,--,24356826,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1939,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Achromobacter spp. AONIH1,,A0A2I8DK81,--,29437920,Not Available,Not Available
1940,Surface composition regulator,Salmonella enterica subspp. enterica serovar ,Cubana Str. 76814,V7IJA1,--,24459266,Not Available,Not Available
1941,"Ferric siderophore transport system,  periplasmic binding protein TonB",Lysobacter capsici AZ78,,A0A125U041,--,24762937,Not Available,Not Available
1942,Surface composition regulator,Salmonella enterica subspp. enterica serovar ,Virchow Str. SL491,A0A6C8EY32,--,21602358,Not Available,Not Available
1943,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Pseudomonas spp. MPC6,,A0A5B7VT08,--,31178851; 31089984,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1944,Uncharacterized protein,Xylella fastidiosa ,Strain 9a5c,Q9PAL4,--,10910347,Not Available,Not Available
1945,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Pseudomonas spp. MPC6,,A0A5B7VSW4,--,31178851; 31089984,Not Available,Not Available
1946,Type II toxin-antitoxin system MqsR family toxin,Pseudomonas spp. MPC6,,A0A5B7W3T4,--,31178851; 31089984,Not Available,Not Available
1947,Surface composition regulator,Yersinia pestis bv. Antiqua ,Strain Nepal516,A0A0H2YFC4,--,16740952,"DNA binding, DNA-directed DNA polymerase activity",Not Available
1948,Lmo2174 protein,Listeria monocytogenes serovar 1 / 2a ,Strain ATCC BAA-679  /  EGD-e,Q8Y595,--,11679669,"Diguanylate cyclase activity, phosphorelay sensor kinase activity",Not Available
1949,Biofilm PGA synthesis deacetylase PgaB,Pseudomonas yamanorum,,A0A145XGS6,--,27231373,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1950,Lmo1911 protein,Listeria monocytogenes serovar 1 / 2a ,Strain ATCC BAA-679  /  EGD-e,Q8Y5Z2,--,11679669,Diguanylate cyclase activity,Not Available
1951,Uncharacterized protein,Yersinia pestis bv. Antiqua ,Strain Nepal516,A0A0H2YLS5,--,16740952,Not Available,Not Available
1952,Lmo1912 protein,Listeria monocytogenes serovar 1 / 2a ,Strain ATCC BAA-679  /  EGD-e,Q8Y5Z1,--,11679669,"Diguanylate cyclase activity, phosphorelay sensor kinase activity",Not Available
1953,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Tissierellia bacterium,,A0A7X8I1F8,--,32123542,Acetyl glucosaminyl transferase activity,Not Available
1954,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Pseudomonas spp. MPC6,,A0A5B7VSI7,--,31178851; 31089984,Acetyl glucosaminyl transferase activity,Not Available
1955,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Xenorhabdus ishibashii,,A0A2D0KJM4,--,28993611,Not Available,Not Available
1956,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Pseudomonas nabeulensis,,A0A4Z0APQ9,--,30910423,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1957,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Xenorhabdus ishibashii,,A0A2D0KJN1,--,28993611,Acetyl glucosaminyl transferase activity,Not Available
1958,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Acinetobacter baumannii ,Strain MDR-ZJ06,A0A654KXG3,--,21788470,Acetyl glucosaminyl transferase activity,Not Available
1959,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Acinetobacter baumannii ,Strain MDR-ZJ06,A0A654KXA5,--,21788470,Not Available,Not Available
1960,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Acinetobacter baumannii ,Strain MDR-ZJ06,A0A654L1A0,--,21788470,Acetyl glucosaminyl transferase activity,Not Available
1961,Polysaccharide deacetylase,Xenorhabdus ishibashii,,A0A2D0KK07,--,28993611,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1962,Motility quorum-sensing regulator MqsR,Pseudomonas spp. Os17,,A0A0D6BDD9,--,25496595,Not Available,Not Available
1963,Putative biofilm PGA synthesis protein PgaD,Pseudomonas fluorescens ,Strain ATCC BAA-477  /  NRRL B-23932  /  Pf-5,Q4KKC2,--,15980861,Not Available,Not Available
1964,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Actinobacillus pleuropneumoniae serotype 5b ,Strain L20,A3N3L7,--,18065534,Acetyl glucosaminyl transferase activity,Not Available
1965,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Pseudomonas fuscovaginae,,A0A0M9GIL7,--,26422147,Not Available,Not Available
1966,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Enterobacter hormaechei,,A0A6G3F3P9,--,31477907,Acetyl glucosaminyl transferase activity,Not Available
1967,Uncharacterized protein,Alphaproteobacteria bacterium HGW-Alphaproteobacteria-3,,A0A2N3BZZ5,--,28350393,Not Available,Not Available
1968,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD (Fragment)",Acinetobacter ursingii,,A0A3D2SJF3,--,30148503,Not Available,Not Available
1969,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Xanthomonadaceae bacterium SCN 69-123,,A0A1E4L188,--,26031303,Not Available,Not Available
1970,Outer membrane N-deacetylase,Achromobacter marplatensis,,J4P4T1,--,23105084,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1971,Surface composition regulator,Serratia fonticola AU-P3,3,U2LWW9,--,24233592,Not Available,Not Available
1972,Surface composition regulator,Enterobacteriaceae bacterium ,Strain FGI 57,L0LYH9,--,23469353,Not Available,Not Available
1973,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Escherichia coli,,A0A5P0JEL1,--,31642700,Not Available,Not Available
1974,Uncharacterized protein,Pluralibacter gergoviae ,Enterobacter gergoviae,A0A1S2B9G4,--,25502672,Not Available,Not Available
1975,Surface composition regulator,Cronobacter sakazakii ,Strain ATCC BAA-894 Enterobacter sakazakii,A7MF81,--,20221447,Not Available,Not Available
1976,Surface composition regulator,Escherichia coli,,A0A5D1FAL4,--,31477907,Not Available,Not Available
1977,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Escherichia coli,,A0A246NPP4,--,30286803,Acetyl glucosaminyl transferase activity,Not Available
1978,Surface composition regulator,Pectobacterium polonicum,,A0A4U7KK94,--,30973319,"DNA binding, DNA-directed DNA polymerase activity",Not Available
1979,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Macrococcus epidermidis,,A0A328A136,--,29951040,Acetyl glucosaminyl transferase activity,Not Available
1980,Surface composition regulator,Escherichia coli,,A0A6M0PTC6,--,16943019,Not Available,Not Available
1981,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Escherichia coli,,A0A6M0PSJ4,--,16943019,Acetyl glucosaminyl transferase activity,Not Available
1982,Lipoprotein (HmsF protein of hmsHFRS Operon),Xenorhabdus nematophila ,Strain ATCC 19061  /  DSM 3370  /  CCUG 14189  /  LMG 1036  /  NCIMB 9965  /  AN6,D3VJ37,--,22125637,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1983,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Xenorhabdus nematophila ,Strain ATCC 19061  /  DSM 3370  /  CCUG 14189  /  LMG 1036  /  NCIMB 9965  /  AN6,D3VJ36,--,22125637,Acetyl glucosaminyl transferase activity,Not Available
1984,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Xanthomonadaceae bacterium SCN 69-123,,A0A1E4L199,--,26031303,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1985,Haemin storage system (HmsS protein of hmsHFRS Operon),Xenorhabdus nematophila ,Strain ATCC 19061  /  DSM 3370  /  CCUG 14189  /  LMG 1036  /  NCIMB 9965  /  AN6,D3VJ35,--,22125637,Not Available,Not Available
1986,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Escherichia coli,,A0A792HM93,--,30286803,Acetyl glucosaminyl transferase activity,Not Available
1987,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Pectobacterium polonicum,,A0A4U7KCH9,--,30973319,Not Available,Not Available
1988,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Escherichia coli,,A0A5P0J1W1,--,31642700,Not Available,Not Available
1989,mRNA interferase MqsR,Escherichia coli,,A0A0P7PX62,--,26441869,Not Available,Not Available
1990,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Clostridium spp. Maddingley MBC34-26,,K6T4C8,--,23405323,Not Available,Not Available
1991,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Pectobacterium polonicum,,A0A4U7KDL9,--,30973319,Acetyl glucosaminyl transferase activity,Not Available
1992,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB (EC 3.5.1.-)",Escherichia coli,,A0A7B3MEP4,--,30286803,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1993,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Escherichia coli,,A0A5P0JF91,--,31642700,Acetyl glucosaminyl transferase activity,Not Available
1994,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Clostridium spp. Maddingley MBC34-26,,K6U9Y4,--,23405323,Acetyl glucosaminyl transferase activity,Not Available
1995,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Escherichia coli,,A0A5P0JEP5,--,31642700,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1996,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Escherichia coli,,A0A6M0PSS0,--,16943019,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1997,Sll1687 protein,Synechocystis spp. ,Strain PCC 6803  /  Kazusa,P73713,--,8905231,Diguanylate cyclase activity,Not Available
1998,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Halomonas spp. HAL1,,G4F1K5,--,22156396,Acetyl glucosaminyl transferase activity,Not Available
1999,Xylanae / chitin deacetylase,Halomonas spp. HAL1,,G4F1K6,--,22156396,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds, Hydrolase activity,  acting on glycosyl bonds",Not Available
2000,Diguanylate cyclase (EC 2.7.7.65),Shewanella oneidensis ,Strain MR-1,Q8EF08,--,12368813,Diguanylate cyclase activity,Not Available
2001,Diguanylate cyclase (EC 2.7.7.65),Shewanella oneidensis ,Strain MR-1,Q8EFD2,--,12368813,Diguanylate cyclase activity,Not Available
2002,Diguanylate cyclase with PAS sensory domain (EC 2.7.7.65),Shewanella oneidensis ,Strain MR-1,Q8EJ99,--,12368813,Diguanylate cyclase activity,Not Available
2003,Diguanylate cyclase (EC 2.7.7.65),Shewanella oneidensis ,Strain MR-1,Q8EIP1,--,12368813,Diguanylate cyclase activity,Not Available
2004,Surface composition regulator,Citrobacter spp. CFNIH10,,A0A3Q8DFL3,--,29437920,Not Available,Not Available
2005,Diguanylate cyclase with PAS sensory domain (EC 2.7.7.65),Shewanella oneidensis ,Strain MR-1,Q8EF28,--,12368813,"Diguanylate cyclase activity, phosphoprotein phosphatase activity",Not Available
2006,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Nitrospira bacterium SG8_35_1,,A0A0S8CZY6,--,25922666,Acetyl glucosaminyl transferase activity,Not Available
2007,Type II toxin-antitoxin system MqsR family toxin,Pseudomonas spp. WS 5078,,A0A7Y1FKF5,--,32587583,Not Available,Not Available
2008,Diguanylate cyclase with HAMP domain (EC 2.7.7.65),Shewanella oneidensis ,Strain MR-1,Q8EC11,--,12368813,Diguanylate cyclase activity,Not Available
2009,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Enterobacter ludwigii,,G8LE14,--,22675579,Acetyl glucosaminyl transferase activity,Not Available
2010,Diguanylate cyclase (EC 2.7.7.65),Shewanella oneidensis ,Strain MR-1,Q8EGF8,--,12368813,Diguanylate cyclase activity,Not Available
2011,Diguanylate cyclase (EC 2.7.7.65),Shewanella oneidensis ,Strain MR-1,Q8EIB5,--,12368813,Diguanylate cyclase activity,Not Available
2012,Outer membrane N-deacetylase,Enterobacter ludwigii,,W0BV21,--,25197457,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
2013,Outer membrane N-deacetylase,Enterobacter ludwigii,,A0A7U4N614,--,26251488,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
2014,P pilus subunit FimA,Shewanella oneidensis ,Strain MR-1,Q8E8S9,--,12368813,Not Available,Not Available
2015,Diguanylate cyclase (EC 2.7.7.65),Shewanella oneidensis ,Strain MR-1,Q8EAN9,--,12368813,Diguanylate cyclase activity,Not Available
2016,Diguanylate cyclase (EC 2.7.7.65),Shewanella oneidensis ,Strain MR-1,Q8EGP7,--,12368813,Diguanylate cyclase activity,Not Available
2017,7TM intracellular sigNot Availablelling protein with GGDEF domain (EC 2.7.7.65),Shewanella oneidensis ,Strain MR-1,Q8EGN0,--,12368813,Diguanylate cyclase activity,Not Available
2018,NodB homology domain-containing protein,Nitrospira bacterium SG8_35_1,,A0A0S8CYX5,--,25922666,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
2019,Diguanylate cyclase with response regulator receiver modulation (EC 2.7.7.65),Shewanella oneidensis ,Strain MR-1,Q8EF60,--,12368813,"Diguanylate cyclase activity, protein kinase activity",Not Available
2020,Diguanylate cyclase (EC 2.7.7.65),Shewanella oneidensis ,Strain MR-1,Q8EGW1,--,12368813,Diguanylate cyclase activity,Not Available
2021,Diguanylate cyclase,Shewanella oneidensis ,Strain MR-1,Q8EBM2,--,12368813,Diguanylate cyclase activity,Not Available
2022,ABC transporter substrate-binding protein,Enterobacter ludwigii,,A0A7U4N650,--,26251488,Not Available,Not Available
2023,BifunctioNot Availablel periplasmic substrate binding protein / cytoplasmic diguanylate cyclase,Shewanella oneidensis ,Strain MR-1,Q8EB35,--,12368813,Diguanylate cyclase activity,Not Available
2024,Diguanylate cyclase (EC 2.7.7.65),Shewanella oneidensis ,Strain MR-1,Q8E979,--,12368813,Diguanylate cyclase activity,Not Available
2025,Diguanylate cyclase (EC 2.7.7.65),Shewanella oneidensis ,Strain MR-1,Q8E963,--,12368813,Diguanylate cyclase activity,Not Available
2026,Diguanylate cyclase (EC 2.7.7.65),Shewanella oneidensis ,Strain MR-1,Q8E936,--,12368813,Diguanylate cyclase activity,Not Available
2027,SigNot Availablelling protein with GGDEF domain,Shewanella oneidensis ,Strain MR-1,Q8EDJ0,--,12368813,Diguanylate cyclase activity,Not Available
2028,BifunctioNot Availablel periplasmic substrate binding protein / cytoplasmic diguanylate cyclase (EC 2.7.7.65),Shewanella oneidensis ,Strain MR-1,Q8EIJ8,--,12368813,Diguanylate cyclase activity,Not Available
2029,Diguanylate cyclase with GAF sensory domain,Shewanella oneidensis ,Strain MR-1,Q8EBG2,--,12368813,"Diguanylate cyclase activity, phosphoprotein phosphatase activity",Not Available
2030,SigNot Availablelling protein with GGDEF domain,Shewanella oneidensis ,Strain MR-1,Q8EE69,--,12368813,Diguanylate cyclase activity,Not Available
2031,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase",Enterobacter ludwigii,,G8LE13,--,22675579,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
2032,Putative membrane protein,Acinetobacter baumannii ,Strain ACICU,A0A7U3XX92,--,18411315,Not Available,Not Available
2033,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Acinetobacter baumannii ,Strain ACICU,A0A7U4DDW4,--,18411315,Acetyl glucosaminyl transferase activity,Not Available
2034,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Cupriavidus basilensis,,A0A0C4Y8S7,--,25977418,Acetyl glucosaminyl transferase activity,Not Available
2035,Uncharacterized protein,Acinetobacter baumannii ,Strain ACICU,A0A7U3Y161,--,18411315,Not Available,Not Available
2036,Predicted xylanase / chitin deacetylase,Acinetobacter baumannii ,Strain ACICU,A0A7U3Y173,--,18411315,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds, Hydrolase activity,  acting on glycosyl bonds",Not Available
2037,Surface composition regulator,Cronobacter dublinensis subspp. dublinensis LMG 23823,,A0A0K2P1G4,--,27013041,Not Available,Not Available
2038,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Acinetobacter baumannii ,Strain ACICU,A0A7U3XXA6,--,18411315,Acetyl glucosaminyl transferase activity,Not Available
2039,Uncharacterized protein,Methylocucumis oryzae,,A0A0F3IJ44,--,26547566,Not Available,Not Available
2040,Biofilm PGA synthesis deacetylase PgaB (EC 3.-.-.-),Cupriavidus basilensis,,A0A0C4YAV1,--,25977418,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
2041,Predicted xylanase / chitin deacetylase,Acinetobacter baumannii ,Strain ACICU,A0A7U3XXD6,--,18411315,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds, Hydrolase activity,  acting on glycosyl bonds",Not Available
2042,Polysaccharide deacetylase,Methylocucumis oryzae,,A0A0F3IGY7,--,26547566,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
2043,Surface composition regulator,Salmonella dublin ,Strain CT_02021853,A0A6C7A0T4,--,21602358,Not Available,Not Available
2044,Putative xylanase / chitin deacetylase,Xanthomonas vesicatoria ATCC 35937,,F0BJX6,--,21396108,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds, Hydrolase activity,  acting on glycosyl bonds",Not Available
2045,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Methylocucumis oryzae,,A0A0F3IH37,--,26547566,Acetyl glucosaminyl transferase activity,Not Available
